"Date";"Year";"Type";"Country";"Area";"Location";"Injury";"Species";"href formula"
"18-Sep-1992";1992;"Unprovoked";"BRAZIL";"Pernambuco";"Boa Viagem, Recife";"Left leg severely bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.18-Cruz.pdf"
"13-Sep-1992";1992;"Unprovoked";"USA";"Oregon";"Gold Beach, Curry County";"Minor bruises";"4 m to 5 m [13' to 16.5']  white shark ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.13-Brittain_Collier.pdf"
"11-Sep-1992";1992;"Unprovoked";"USA";"Florida";"South Jetty, New Smyrna Beach, Volusia County";"Right ankle & calf bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.11-Langbein.pdf"
"10-Sep-1992";1992;"Unprovoked";"BRAZIL";"Pernambuco";"Boa Viagem, Recife";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.10-BoaViagem.pdf"
"Sep-1992";1992;"Unprovoked";"USA";"Florida";"St Lucie County";"Foot bitten, 8 stitches needed to repair the wound";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.00-surf-fisherman.pdf"
"29-Aug-1992";1992;"Unprovoked";"BAHAMAS";"Abaco Islands";"Double Breasted Cays ";"Left hand bitten";"1.8 m [6'] blacktip shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.08.29-Fortunato.pdf"
"25-Aug-1992";1992;"Unprovoked";"AUSTRALIA";"South Australia";"Lipson Cove, Tumby Bay";"Minor cuts, sufboard bitten";"4 m white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.08.25-Bates.pdf"
"21-Aug-1992";1992;"Invalid";"USA";"Hawaii";"Twin Arches, Hana Ranch, Maui";"Body recovered next morning. Injuries appeared to be inflicted post mortem";"Questionable incident";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.08.21-Shishido.pdf"
"18-Aug-1992";1992;"Unprovoked";"USA";"California";"Klamath River, Del Norte County";"No injury, board bitten";"5.5 m to 6 m [18' to 20'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.08.18-Caruso_Collier.pdf"
"17-Aug-1992";1992;"Provoked";"USA";"Florida";"Manalapan, Palm Beach County";"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT";"Nurse shark, 3', 20-lb ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.08.17-Duguid.pdf"
"Aug-1992";1992;"Invalid";"USA";"Florida";"St. Lucie County";"No details";"Questionable incident";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.08.00-NV-StLucieFisherman.pdf"
"23-Jul-1992";1992;"Invalid";"USA";"Hawaii";"Wai'anae, O'ahu";"Death due to drowning. His body, tied to floating ice chest, had 2 small post-mortem bites due to cookie cutter shark";"Invalid";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.07.23-Popa.pdf"
"21-Jul-1992";1992;"Unprovoked";"USA";"Florida";"Manasota Beach, Sarasota County";"Lacerations to left foot";"""a small shark""""""";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.07.21-Suits.pdf"
"08-Jul-1992";1992;"Unprovoked";"BRAZIL";"Maranhăo";"Praia da Marcela, Săo Marcos Bay";"Arm bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.07.08.b-LG.pdf"
"08-Jul-1992";1992;"Unprovoked";"BRAZIL";"Maranhăo";"Praia da Marcela, Săo Marcos Bay";"Lower leg bitten, surgically amputated";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.07.08.a-MS.pdf"
"28-Jun-1992";1992;"Unprovoked";"BRAZIL";"Pernambuco";"Piedade";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.06.28.b-Piedade-Brazil.pdf"
"28-Jun-1992";1992;"Unprovoked";"REUNION";"Saint-Paul";"Cap de la Marianne";"FATAL";"Bull shark or lemon shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.06.28.a-Mercredi.pdf"
"19-Jun-1992";1992;"Unprovoked";"VANUATU";"Malampa Province";"Port Sandwich, Malakula";"Right leg was bitten above and below the knee and an artery was punctured";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.06.19-AndreaRush.pdf"
"17-Jun-1992";1992;"Boat";"JAPAN";"Ehime Prefecture";"1.5 km north of Igata-cho, 60 km south of Matsyama";"No inujury to occupant. Shark bit boat repeatedly, leaving  2 teeth in the bottom keel of the boat";"White shark, identification by K. Nakaya";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.06.17-Ueda.pdf"
"Jun-1992";1992;"Unprovoked";"REUNION";"Saint-Paul";"";"Survived";"Mako shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.06.00-ReunionDiver.pdf"
"31-May-1992";1992;"Invalid";"USA";"North Carolina ";"Wreck of the U-352 ";"Disappeared. His ripped dive jacket was recovered";"Shark involvement prior to death was not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.05.31-Weathers.pdf"
"22-May-1992";1992;"Unprovoked";"REUNION";"Saint-Joseph";"Lieu-dit Cayenne";"FATAL";"Tiger shark, 3 m to 4 m [10' to 13'] ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.05.22-Nativel.pdf"
"May 1992";1992;"Unprovoked";"MEXICO";"Mexico / Caribbean Sea";"Isla Mujeres";"Fingers, hand & arm bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.05.00-Caloyianis.pdf"
"24-Apr-1992";1992;"Unprovoked";"NEW ZEALAND";"Antarctic Ocean";"Meteorologic Station on Campbell Island, 370 nautical miles south of New Zealand";"Right forearm severed, left forearm lacerated & broken";"4 m [13'], 590-kg white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.04.24-Fraser.pdf"
"09-Apr-1992";1992;"Unprovoked";"SOUTH AFRICA";"Eastern Cape Province";"Nahoon";"Punctures & lacerations on lower leg";">2 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.04.09-Harmer.pdf"
"28-Mar-1992";1992;"Unprovoked";"USA";"Hawaii";"Cannons, at Ha'ena on the north shore of Kaua'i Island";"Foot bitten, crescent of bitemarks in both sides of board";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.03.28-Chamberlin.pdf"
"10-Mar-1992";1992;"Unprovoked";"AUSTRALIA";"Victoria";"Point Lonsdale";"Right thigh, back & hand lacerated";"Bronze whaler shark, 3 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.03.10-Jepson.pdf"
"08-Mar-1992";1992;"Unprovoked";"JAPAN";"Ehime Prefecture";"Matsuyama";"FATAL, body not recovered";"5 m [16.5'] white shark, identification by K. Nakaya";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.03.08.c-Harada.pdf"
"08-Mar-1992";1992;"Boat";"JAPAN";"Ehime Prefecture";"Nagahama-cho, 40 km southwest of Matsuyama ";"No injury to boat or occupant";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.03.08.b-Takasaki.pdf"
"08-Mar-1992";1992;"Unprovoked";"USA";"Oregon";"Winchester Bay, Douglas County";"Left shoulder & side bitten, board broken";"Said to involve a 6 m to 7 m [20' to 23'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.03.08.a-Allman-Collier.pdf"
"19-Feb-1992";1992;"Unprovoked";"USA";"Hawaii";"Leftovers, near Waimea Bay, O'ahu";"FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark";"Tiger shark?";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.02.19 - Adona.pdf"
"14-Feb-1992";1992;"Unprovoked";"JAPAN";"Ehime Prefecture";"Matsuyama";"No injury, steel diving helmet bitten 3 times";"5 m [16.5'] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.02.14-Koji-Harada.pdf"
"09-Feb-1992";1992;"Invalid";"AUSTRALIA";"Tasmania";"Clifton Beach, southwest of Hobart";"No injury, shark allegedly took his surfboard & slashed his wetsuit. Shark involvement questionable";"Questionable incident";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.02.09-Fitzpatrick.pdf"
"29-Jan-1992";1992;"Unprovoked";"REUNION";"La Saline-les-Bains";"Revine-3-Bassins";"Survived";"1.8 m grey shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.01.29.b-Carnoy.pdf"
"29-Jan-1992";1992;"Unprovoked";"AUSTRALIA";"New South Wales";"Tweed Heads";"Right leg lacerated";"Bronze whaler shark, 2.3 m [7.5'] ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.01.29.a-Bayliss.pdf"
"23-Jan-1992";1992;"Unprovoked";"SOUTH AFRICA";"KwaZulu-Natal";"Isipingo";"Right foot lacerated";"Zambesi shark, 1.7 m [5.5'] ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.01.23-Shaik.pdf"
"08-Jan-1992";1992;"Unprovoked";"SOUTH AFRICA";"KwaZulu-Natal";"Sheffield Beach";"Left cheek lacerated";"Possibly a 1.5 m [5'] blacktip shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.01.08-vanHuysteen.pdf"
"06-Jan-1992";1992;"Unprovoked";"MAURITIUS";"";"Mahebourg";"Survived";"Grey reef shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.01.06-Mauritius.pdf"
"03-Jan-1992";1992;"Unprovoked";"JAPAN";"Ehime Prefecture";"Matsuyama";"Survived";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.01.03-Japan.pdf"
"Jan-1992";1992;"Invalid";"JAPAN";"Sea of Japan";"Kanazawa?";"Survived. questionable incident";"Questionable incident";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.01.00-Nakamura.pdf"
"1992";1992;"Unprovoked";"FIJI";"Tavenui";"";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1992.00.00-NV-Davies.pdf"
"04-Dec-1991";1991;"Unprovoked";"USA";"California";"Shelter Cover, north of Fort Bragg, Shelter Cove, Mendocino County";"No injury, shark became tangled in hose & towed him 100'";"6 m [20'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.12.04-Abernathy_Collier.pdf"
"26-Nov-1991";1991;"Unprovoked";"USA";"Hawaii";"Olowalu, Maui";"FATAL, right leg at hip, left leg and right forearm severed  ";"Tiger shark, 2.4 m 3.4 m [8' to 11']  ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.11.26.b-Morrell.pdf"
"26-Nov-1991";1991;"Unprovoked";"USA";"Hawaii";"Olowalu, Maui";"Right calf abraded";"Tiger shark, 2.4 m 3.4 m [8' to 11']  ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.11.26.a-Sourisseau.pdf"
"19-Nov-1991";1991;"Unprovoked";"USA";"Hawaii";"Maliko Point, Maui";"Body not recovered, shorts found indicating shark bite on left side";"Tiger shark, 3.7 m [12'] ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.11.19-Park.pdf"
"14-Nov-1991";1991;"Provoked";"USA";"Florida";"Near Port Canaveral Coast Guard Base";"Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT";"2.4 m [8'] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.11.14-Saenza.pdf"
"Nov-1991";1991;"Unprovoked";"AUSTRALIA";"Western Australia";"Backbeach, Halls Head";"Calf scratched & chunk bitten from board";"""small shark""""""";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.11.00-Wittorff.pdf"
"12-Oct-1991";1991;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Right foot & ankle lacerated";"1.8 m [6'] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.10.12-CliffTurner.pdf"
"05-Oct-1991";1991;"Unprovoked";"USA";"California";"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County";"Arm, shoulder & back bitten";"5 m to 6 m [16.5' to 20'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.10.05-Ferreira_Collier.pdf"
"19-Sep-1991";1991;"Invalid";"BAHAMAS";"";"Bimini";"Initally reported as a shark attack, forensic examination concluded cause of death was drowning";"Invalid";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.09.19-Huneidi.pdf"
"08-Sep-1991";1991;"Unprovoked";"AUSTRALIA";"South Australia";"Snapper Point, Aldinga Beach, Adelaide";"FATAL";"4 m [13'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.09.08-Lee.pdf"
"30-Aug-1991";1991;"Provoked";"AUSTRALIA";"Queensland";"On board the Japanese longline trawler Fukuya No.38, 100 nm northeast of Brisbane";"Shark bit his arm, nearly severing it PROVOKED INCIDENT";"3 m [10'], 270- kg [595-lb] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.08.30-fisherman.pdf"
"26-Aug-1991";1991;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Deep cuts on lower leg";"sand shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.08.26-Hibshman.pdf"
"12-Aug-1991";1991;"Unprovoked";"USA";"Florida";"Vero Beach, Indian River County";"Bite to left thigh & calf";"3' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.08.12-Johnson.pdf"
"09-Aug-1991";1991;"Provoked";"USA";"Florida";"Florida Bay";"Laceration to right forearm PROVOKED INCIDENT";"Lemon shark, 30-lb ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.08.09-Donnell.pdf"
"30-Jul-1991";1991;"Boating";"ITALY";"Ligurian Sea";"Portofino, 20 miles offshore, Tigullio Bay, Santa Margherita Ligure (Liguria)";"No Injury to occupant; canoe bitten";"4 m [13'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.07.30-Ivana-Iacaccia.pdf"
"27-Jul-1991";1991;"Unprovoked";"USA";"Florida";"John Pennekamp Marine Park, Monroe County";"Arm bitten";"2.1 m [7'], 140-lb reef shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.07.27-Yarber.pdf"
"18-Jul-1991";1991;"Unprovoked";"USA";"Florida";"150 miles from Crystal River";"Punctures in lower abdomen & groin ";"1.8 m [6'] blacktip shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.07.18-Myers.pdf"
"07-Jul-1991";1991;"Unprovoked";"USA";"Florida";"South Miami Beach, Dade County";"Arm bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.07.07-Garcia.pdf"
"01-Jul-1991";1991;"Unprovoked";"REUNION";"L'Etang-Salé";"Ravine des Sables, Saint Leu";"Left arm severed";"Tiger shark, 3 to 4 m [10' to 13'] ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.07.01.b-Llovera.pdf"
"01-Jul-1991";1991;"Unprovoked";"USA";"California";"8.5 miles south of Ano Nuevo State Reserve, Davenport County";"Forearm, upper thigh, knee & ankle lacerated";"5 m [16.5'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.07.01.a-Larsen_Collier.pdf"
"July 1991";1991;"Unprovoked";"USA";"Virginia";"Croatan Beach, Virginia Beach, ";"Severe laceration to foot";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.07.00-Hootman.pdf"
"29-Jun-1991";1991;"Unprovoked";"HONG KONG";"";"Basalt Island, 9km from Silverstrand";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.06.29-NV-HongKong.pdf"
"28-Jun-1991";1991;"Unprovoked";"HONG KONG";"Kowloon Peninsula";"Sai Kung";"FATAL, right arm severed  ";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.06.28-HongKong.pdf"
"26-Jun-1991";1991;"Unprovoked";"USA";"Florida";"Jacksonville Beach, Duval County";"Hand bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.06.26-JoeBosque.pdf"
"07-Jun-1991";1991;"Unprovoked";"USA";"Florida";"Tampa Bay, Hillsborough County";"Left ankle, calf, thigh and abdomen bitten";"2.7 m [9'] bull or lemon shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.06.07.b-LePrevost.pdf"
"07-Jun-1991";1991;"Unprovoked";"HONG KONG";"Port Shelter";"Silverstrand Beach, near Hung Hau ";"Abdomen bitten & leg severed  FATAL";"Tiger shark, >3 m [10']";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.06.07.a-YeungTam-ho.pdf"
"26-May-1991";1991;"Unprovoked";"USA";"Hawaii";"Ma'ili Beach, O'ahu";"Right calf bitten";"2.4 m [8'] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.05.26-Betz.pdf"
"19-May-1991";1991;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Gordon’s Bay";"No injury, tank scratched by shark";"3.5 m [11.5'] female white shark named ""Notchfin""""""";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.05.19-Marais-Jordaan.pdf"
"24-Apr-1991";1991;"Provoked";"BRAZIL";"Pernambuco";"Praia de Pau Amarelo, Recife";"2 fingers severed by netted shark PROVOKED INCIDENT";"170-kg, 2.8 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.04.24-PauAmarelo.pdf"
"16-Apr-1991";1991;"Provoked";"USA";"Maryland";"Baltimore Aquarium";"Minor injury by captive shark PROVOKED INCIDENT";"7' female shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.04.16-Kohler.pdf"
"16-Apr-1991";1991;"Unprovoked";"USA";"Florida";"South of Ponce Inlet, New Smyrna Beach, Volusia County";"Right thigh";"1.2 m to 1.5 m [4' to 5'] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.04.16.b-BaltimoreAquarium.pdf"
"03-Apr-1991";1991;"Unprovoked";"USA";"Hawaii";"One'ula Beach Park, 'Ewa Beach, O'ahu";"Deep lacerations to calf & ankle";"""Shark had a very large girth""""""";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.04.03-Wenke.pdf"
"03-Mar-1991";1991;"Unprovoked";"AUSTRALIA";"New South Wales";"Bass Point";"Lacerations to arm & leg";"Grey nurse shark, 2 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.03.03-Puliak.pdf"
"24-Feb-1991";1991;"Unprovoked";"USA";"Oregon";"Neskowin, Tillamook County";"Calf lacerated & board bitten";"5.5 m [18'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.02.24-Franciscone_Collier.pdf"
"12-Feb-1991";1991;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Miller’s Point";"Foot & swim fin bitten";"5.5 m [18'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.02.12-Hayman.pdf"
"19-Jan-1991";1991;"Unprovoked";"AUSTRALIA";"Queensland";"Mermaid Waters";"Hands, legs & buttocks lacerated";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.01.19-Sproule.pdf"
"09-Jan-1991";1991;"Unprovoked";"AUSTRALIA";"Western Australia";"Scarborough";"No injury, shark brushed ski";"4 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.01.09-Kenny.pdf"
"Jan-1991";1991;"Unprovoked";"AUSTRALIA";"Queensland";"Pelican Banks near Gladstone";"Survived";"2 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1991.01.00-Hodgson.pdf"
"26-Dec-1990";1990;"Invalid";"SOUTH AFRICA";"Eastern Cape Province";"Port Elizabeth";"Survived";"Questionable incident";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.12.26-NV-SouthAfrica.pdf"
"28-Nov-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Nerang River";"Abdomen, hip, leg & arm bitten";"1.5 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.11.28-Pignolet.pdf"
"03-Nov-1990";1990;"Unprovoked";"USA";"California";"Monastery Beach, Carmel Bay, Monterey County";"Leg bitten";"4 m to 5 m [13' to 16.5'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.11.03-Tavares_Collier.pdf"
"01-Nov-1990";1990;"Unprovoked";"USA";"Florida";"Spanish River Park Beach, Palm Beach County";"Ear, shoulder, arm, wrist & ear injured";"5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.11.01-Cornell.pdf"
"30-Oct-1990";1990;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Hand & wrist bitten, tooth fragments in wound";"1.8 m [6'] shark ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.10.30.b-RobertSpratt.pdf"
"30-Oct-1990";1990;"Unprovoked";"USA";"Florida";"Indialantic, Brevard County";"Cuts on left foot ";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.10.30.a-Mark Evans.pdf"
"27-Oct-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Mermaid Waters";"Buttocks & hip bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.10.27-Coleman.pdf"
"25-Oct-1990";1990;"Unprovoked";"AUSTRALIA";"South Australia";"Goolwa Beach";"Lacerations to foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.10.25-Goolwa-Surfer.pdf"
"20-Oct-1990";1990;"Unprovoked";"USA";"Florida";"North end of County Beach, Palm Beach County";"Wrist bitten";"4' spinner shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.10.20-Demers.pdf"
"15-Oct-1990";1990;"Unprovoked";"USA";"Hawaii";"Hanalei Point, Kaua'i";"No Injury, board bitten";"Tiger shark, 3.7 m [12'] ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.10.15-Filzer.pdf"
"12-Oct-1990";1990;"Unprovoked";"USA";"Florida";"Stuart Beach, Martin County";"Superficial injuries to left foot & ankle";"1.8 m to 2.4 m [6' to 8'] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.10.12-GabeMartino.pdf"
"15-Sep-1990";1990;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Oudekraal";"Right hand lacerated";"5 m  [16.5'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.09.15-Gasant.pdf"
"08-Sep-1990";1990;"Unprovoked";"USA";"California";"Russian Gulch, Jenner, Sonoma County";"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.09.08-Orr_Collier.pdf"
"05-Sep-1990";1990;"Boating";"USA";"California";"Trinidad State Beach, Humboldt County";"No injury, kayak capsized";"2.5 m to 3 m [8.25' to 10']  white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.09.05 - Hinton_Collier.pdf"
"30-Aug-1990";1990;"Invalid";"USA";"Florida";"Juno Beach / North Palm Beach, Palm Beach County";"Disappeared, body recovered with large bite on thigh";"Shark involvement prior to death could not be determined";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.30-Mortimer.pdf"
"28-Aug-1990";1990;"Unprovoked";"USA";"California";"Trinidad Head, Humboldt County";"4 punctures on leg & board bitten";"5 m to 6 m [16.5' to 20'] white shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.28-Swan_Collier.pdf"
"19-Aug-1990";1990;"Unprovoked";"USA";"Texas";"Mustang Island, Nueces County";"Minor cuts to foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.19.b-Surfer.pdf"
"19-Aug-1990";1990;"Unprovoked";"USA";"Texas";"Near Port Aransas, Nueces County";"Minor injury";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.19.a-b-Allen.pdf"
"22-Jul-1990";1990;"Unprovoked";"USA";"Texas";"Mustang Island State Park, Nueces County";"10-inch laceration to right foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.07.22-Greem.pdf"
"08-Jul-1990";1990;"Unprovoked";"USA";"Florida";"Perdido Key near the Florida Panhandle, Escambia County";"Minor injury to left ankle & foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.07.08-Holloway.pdf"
"24-Jun-1990";1990;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Mossel Bay";"FATAL, thigh bitten  ";"4.5 m [14'9""] white shark""";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.06.24 - Price.pdf"
"23-Jun-1990";1990;"Unprovoked";"BAHAMAS";"";"Bimini";"Left forearm bitten";"1.2 m to 1.5 m [4' to 5'] shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.06.23-Cease.pdf"
"13-May-1990";1990;"Provoked";"SOUTH AFRICA";"KwaZulu-Natal";"Protea Reef";"No injury to occupants, hooked shark freed itself, then rammed stern of boat PROVOKED INCIDENT";"6 m, 600-kg shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.13-DoubleOne.pdf"
"10-May-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Outer Barrier Reef near Port Douglas";"Lacerations";"2 m hammerhead";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.10.b-Sydney-woman.pdf"
"10-May-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Outer Barrier Reef near Port Douglas";"Lacerations";"2 m hammerhead";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.10.a-German-male.pdf"
"06-May-1990";1990;"Unprovoked";"SOUTH AFRICA";"Eastern Cape Province";"Cintsa East";"Thigh severely lacerated";"5.5 m [18'] white shark, identified by witnesses & tooth marks";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.06-Forrester.pdf"
"14-Apr-1990";1990;"Unprovoked";"SOUTH AFRICA";"Eastern Cape Province";"Cape Recife";"Leg bitten";"2.3 m [7.5'] white shark, identified by M. Smale";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.14-Botha.pdf"
"09-Apr-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Greenmount Beach";"Lacerations & abrasions, board bitten in half";"Tiger shark, 3 m ";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.09-Fleming.pdf"
"08-Apr-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Dingo Reef, 80 nm off Townsville";"Presumed FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.08-Bullen.pdf"
"07-Apr-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Fingal Beach";"No injury, board broken in two";"3 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.07-AmericanTourist.pdf"
"06-Apr-1990";1990;"Unprovoked";"AUSTRALIA";"Queensland";"Fingal Beach";"No injury, board bitten";"3 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.06-TonyPatton.pdf"
"01-Apr-1990";1990;"Unprovoked";"USA";"Hawaii";"Silver (Silva) Channels, Waialua, O'ahu";"Ankle lacerated, lower left leg severely abraded ";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.01-Peacock.pdf"
"  24-Mar-1990";1990;"Unprovoked";"FIJI";"Laucala Island";"";"Lacerations to right leg";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.03.24-Rockefeller.pdf"
"05-Mar-1990";1990;"Unprovoked";"REUNION";"Sainte-Marie";"Baie de la Mare";"Survived";"3 m [10'] bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/1990.03.05-Reunion.pdf"
